Season,League,Game,Winning team,Score,Losing team,Venue,Attendance
1966,NFLAFL,I,Green Bay Packers (1) (10),35–10,Kansas City Chiefs,Los Angeles Memorial Coliseum,61946
1967,NFLAFL,II,Green Bay Packers (2) (11),33–14,Oakland Raiders,Miami Orange Bowl,75546
1968,NFLAFL,III,New York Jets (1) (1),16–7,Baltimore Colts,Miami Orange Bowl,75389
1969,NFLAFL,IV,Kansas City Chiefs (1) (1),23–7,Minnesota Vikings,Tulane Stadium,80562
1970,NFL,V,Baltimore Colts (1) (3),16–13,Dallas Cowboys,Miami Orange Bowl,79204
1971,NFL,VI,Dallas Cowboys (1) (1),24–3,Miami Dolphins,Tulane Stadium,81023
1972,NFL,VII,Miami Dolphins (1) (1),14–7,Washington Redskins,Los Angeles Memorial Coliseum,90182
1973,NFL,VIII,Miami Dolphins (2) (2),24–7,Minnesota Vikings,Rice Stadium,71882
1974,NFL,IX,Pittsburgh Steelers (1) (1),16–6,Minnesota Vikings,Tulane Stadium,80997
1975,NFL,X,Pittsburgh Steelers (2) (2),21–17,Dallas Cowboys,Miami Orange Bowl,80187
1976,NFL,XI,Oakland Raiders (1) (1),32–14,Minnesota Vikings,Rose Bowl,103438
1977,NFL,XII,Dallas Cowboys (2) (2),27–10,Denver Broncos,Louisiana Superdome,76400
1978,NFL,XIII,Pittsburgh Steelers (3) (3),35–31,Dallas Cowboys,Miami Orange Bowl,79484
1979,NFL,XIV,Pittsburgh Steelers (4) (4),31–19,Los Angeles Rams,Rose Bowl,103985
1980,NFL,XV,Oakland Raiders (2) (2),27–10,Philadelphia Eagles,Louisiana Superdome,76135
1981,NFL,XVI,San Francisco 49ers (1) (1),26–21,Cincinnati Bengals,Pontiac Silverdome,81270
1982,NFL,XVII,Washington Redskins (1) (3),27–17,Miami Dolphins,Rose Bowl,103667
1983,NFL,XVIII,Los Angeles Raiders (3) (3),38–9,Washington Redskins,Tampa Stadium,72920
1984,NFL,XIX,San Francisco 49ers (2) (2),38–16,Miami Dolphins,Stanford Stadium,84059
1985,NFL,XX,Chicago Bears (1) (9),46–10,New England Patriots,Louisiana Superdome,73818
1986,NFL,XXI,New York Giants (1) (5),39–20,Denver Broncos,Rose Bowl,101063
1987,NFL,XXII,Washington Redskins (2) (4),42–10,Denver Broncos,Jack Murphy Stadium,73302
1988,NFL,XXIII,San Francisco 49ers (3) (3),20–16,Cincinnati Bengals,Joe Robbie Stadium,75129
1989,NFL,XXIV,San Francisco 49ers (4) (4),55–10,Denver Broncos,Louisiana Superdome,72919
1990,NFL,XXV,New York Giants (2) (6),20–19,Buffalo Bills,Tampa Stadium,73813
1991,NFL,XXVI,Washington Redskins (3) (5),37–24,Buffalo Bills,Hubert H. Humphrey Metrodome,63130
1992,NFL,XXVII,Dallas Cowboys (3) (3),52–17,Buffalo Bills,Rose Bowl,98374
1993,NFL,XXVIII,Dallas Cowboys (4) (4),30–13,Buffalo Bills,Georgia Dome,72817
1994,NFL,XXIX,San Francisco 49ers (5) (5),49–26,San Diego Chargers,Joe Robbie Stadium,74107
1995,NFL,XXX,Dallas Cowboys (5) (5),27–17,Pittsburgh Steelers,Sun Devil Stadium,76347
1996,NFL,XXXI,Green Bay Packers (3) (12),35-21,New England Patriots,Louisiana Superdome,72301
1997,NFL,XXXII,Denver Broncos (1) (1),31–24,Green Bay Packers,Qualcomm Stadium,68912
1998,NFL,XXXIII,Denver Broncos (2) (2),34–19,Atlanta Falcons,Pro Player Stadium,74803
1999,NFL,XXXIV,St. Louis Rams (1) (3),23–16,Tennessee Titans,Georgia Dome,72625
2000,NFL,XXXV,Baltimore Ravens (1) (1),34–7,New York Giants,Raymond James Stadium,71921
2001,NFL,XXXVI,New England Patriots (1) (1),20–17,St. Louis Rams,Louisiana Superdome,72922
2002,NFL,XXXVII,Tampa Bay Buccaneers (1) (1),48–21,Oakland Raiders,Qualcomm Stadium,67603
2003,NFL,XXXVIII,New England Patriots (2) (2),32–29,Carolina Panthers,Reliant Stadium,71525
2004,NFL,XXXIX,New England Patriots (3) (3),24–21,Philadelphia Eagles,Alltel Stadium,78125
2005,NFL,XL,Pittsburgh Steelers (5) (5),21–10,Seattle Seahawks,Ford Field,68206
2006,NFL,XLI,Indianapolis Colts (2) (4),29–17,Chicago Bears,Dolphin Stadium,74512
2007,NFL,XLII,New York Giants (3) (7),17–14,New England Patriots,University of Phoenix Stadium,71101
2008,NFL,XLIII,Pittsburgh Steelers (6) (6),27–23,Arizona Cardinals,Raymond James Stadium,70774
2009,NFL,XLIV,New Orleans Saints (1) (1),31–17,Indianapolis Colts,Sun Life Stadium,74059
2010,NFL,XLV,Green Bay Packers (4) (13),31–25,Pittsburgh Steelers,Cowboys Stadium,103219
2011,NFL,XLVI,New York Giants (4) (8),21–17,New England Patriots,Lucas Oil Stadium,68658
2012,NFL,XLVII,Baltimore Ravens (2) (2),34–31,San Francisco 49ers,Mercedes-Benz Superdome,71024
2013,NFL,XLVIII,Seattle Seahawks (1) (1),43–8,Denver Broncos,MetLife Stadium,82529
2014,NFL,XLIX,New England Patriots (4) (4),28–24,Seattle Seahawks,University of Phoenix Stadium,70288
2015,NFL,50,Denver Broncos (3) (3),24–10,Carolina Panthers,Levi's Stadium,71088
2016,NFL,LI,New England Patriots (5) (5),34–28 (OT),Atlanta Falcons,NRG Stadium,70807
2017,NFL,LII,Philadelphia Eagles (1) (4),41–33,New England Patriots,U.S. Bank Stadium,67612
2018,NFL,LIII,New England Patriots (6) (6),13–3,Los Angeles Rams,Mercedes-Benz Stadium,73019
