Team,Conference,latitude,longitude,fox ID
Titans,AFC,36.166461,-86.771289,10
Giants,NFC,40.812194,-74.076983,
Steelers,AFC,40.446786,-80.015761,
Panthers,NFC,35.225808,-80.852861,
Ravens,AFC,39.277969,-76.622767,
Buccaneers,NFC,27.975967,-82.50335,
Colts,AFC,39.760056,-86.163806,
Vikings,NFC,44.973881,-93.258094,
Cardinals,NFC,33.5277,-112.262608,
Cowboys,NFC,32.747778,-97.092778,
Falcons,NFC,33.757614,-84.400972,
Jets,AFC,40.812194,-74.076983,
Broncos,AFC,39.743936,-105.020097,
Dolphins,AFC,25.957919,-80.238842,
Eagles,NFC,39.900775,-75.167453,
Bears,NFC,41.862306,-87.616672,
Patriots,AFC,42.090925,-71.26435,
Redskins,NFC,38.907697,-76.864517,
Packers,NFC,44.501306,-88.062167,
Chargers,AFC,32.783117,-117.119525,
Saints,NFC,29.950931,-90.081364,
Texans,AFC,29.684781,-95.410956,
Bills,AFC,42.773739,-78.786978,
Forty-Niners,NFC,37.713486,-122.386256,
Jaguars,AFC,30.323925,-81.637356,
Browns,AFC,41.506022,-81.699564,
Raiders,AFC,37.751411,-122.200889,
Chiefs,AFC,39.048914,-94.484039,
Rams,NFC,38.632975,-90.188547,
Seahawks,NFC,47.595153,-122.331625,
Bengals,AFC,39.095442,-84.516039,
Lions,NFC,42.340156,-83.045808,
